             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
             95257 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95258 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95259 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95260 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95261 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95262 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95263 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95264 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95265 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95266 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95267 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95268 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95269 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95270 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95271 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95272 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95273 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95274 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95275 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95276 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95277 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95278 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95279 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95280 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95281 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95282 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95283 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95284 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95285 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95286 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95287 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95288 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95289 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95290 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95291 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95292 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95293 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95294 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95295 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95296 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95297 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95298 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95299 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95300 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95301 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95302 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95303 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95304 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95305 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95306 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95307 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95308 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95309 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95310 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95311 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95312 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95313 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95314 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95315 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95316 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95317 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95318 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95319 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95320 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95321 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95322 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95323 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95324 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95325 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95326 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95327 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95328 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95329 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95330 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95331 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95332 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95333 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95334 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95335 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95336 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95337 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95338 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95339 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95340 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95341 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95342 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95343 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95344 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95345 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95346 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95347 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95348 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95349 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95350 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95351 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95352 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95353 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95354 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
